SpcID	Growth_Form	Life_span_	Dispersal	Seed_size	Regeneration	plant_height	time_to_first_flower	distribution	fire-recruiters	Mycorrhizal_status
Corymbium_africanum	b	p	w	b	us	s	1	o	fsf	NA
Corymbium_glabrum	b	p	w	b	us	s	1	o	fsf	NA
Corymbium_spp	b	p	w	b	us	s	1	o	fsf	NA
Haemanthus_coccineus	b	p	v	s	us	s	1	o	fsf	NA
Acrolophia_capensis	b	p	p	NA	us	s	1	o	fsf	NA
Disa_racemosa	b	p	NA	NA	us	s	1	o	fsf	NA
Alciope_tabularis	o	p	w	s	es	s	1	re	fsf	NA
Gerbera_linnaei	h	p	w	b	us	s	1	re	fsf	NA
Cyphia_bulbosa	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_filiformis	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_gladiata	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_indica	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_indica_var_minor	b	p	p	s	us	s	1	re	fsf	NA
Ceratandra_atrata	b	p	u	s	us	s	1	re	fsf	NA
Gerbera_crocea	h	p	w	s	us	s	1	re	fsf	NA
Bobartia_spp.	b	p	p	u	us	s	1	re	fsf	NA
Pterygodium_acutifolia	b	p	NA	NA	us	s	1	re	fsf	NA
Merxmuellera_stricta	g	p	w	s	es	s	1	o	fsf,fsg	NA
Merxmuellera_cincta	g	p	NA	NA	es	s	1	o	fsf,fsg	NA
Pentaschistis_curvifolia	g	p	NA	NA	es	s	1	o	fsf,fsg	NA
Pentaschistis_eriostoma	g	p	NA	NA	es	s	1	o	fsf,fsg	NA
Koeleria_capensis	g	p	NA	NA	s	s	1	o	fsf,fsg	NA
Ehrharta_spp	g	p	u	u	u	s	1	o	fsf,fsg	NA
Pennisetum_macrourum	g	p	NA	s	us	b	1	o	fsf,fsg	NA
Pentaschistis_colorata	g	p	NA	s	es	s	1	re	fsf,fsg	NA
Pentameris_macrocalycina	g	a	NA	NA	es	s	1	re	fsf,fsg	NA
Pentaschistis_malouinensis	g	p	NA	NA	es	s	1	re	fsf,fsg	NA
Pseudopentameris_macrantha	g	p	NA	NA	es	s	1	re	fsf,fsg	NA
Ehrharta_ramosa	g	p	p	s	s	s	1	re	fsf,fsg	NA
Ehrharta_ramosa_ssp_aphylla	g	p	p	s	s	s	1	re	fsf,fsg	NA
Ehrharta_rupestris_ssp_tricostata	g	p	p	s	s	s	1	re	fsf,fsg	NA
Ehrharta_setacea_ssp_uniflora	g	p	p	s	s	s	1	re	fsf,fsg	NA
Pentaschistis_argentea	g	p	NA	s	us	s	1	re	fsf,fsg	NA
Ehrharta_capensis	g	p	NA	NA	us	s	1	re	fsf,fsg	NA
Merxmuellera_rufa	g	p	NA	NA	us	s	1	re	fsf,fsg	NA
Ehrharta_ottonis	g	p	p	s	NA	s	1	re	fsf,fsg	NA
Brassica_tournfortii	h	a	p	b	s	s	1	e	fsg	NA
Acacia_longifolia	t	p	v	b	s	b	3	e	fsg	NA
Acacia_mearnsii	t	p	v	b	s	b	3	e	fsg	NA
Acacia_melanoxylon_	t	p	v	b	s	b	3	e	fsg	NA
Paraserianthes_lophantha	t	p	NA	NA	s	b	NA	e	fsg	NA
Indigofera_mauritanica	h	NA	p	NA	NA	s	1	le	fsg	NA
Liparia_parva	h	p	NA	NA	es	s	2	le	fsg	NA
Drosanthemum_stokoei	h	p	p	s	s	s	2	le	fsg	NA
Aspalathus_capensis	e	p	p	b	s	b	2	le	fsg	NA
Serruria_villosa	t	p	m	b	s	s	3	le	fsg	NA
Mimetes_fimbriifolius	t	a	m	b	es	b	NA	le	fsg	NA
Pelargonium_capitatum	h	a	w	b	s	s	1	o	fsg	NA
Centella_tridentata	h	b	m	s	s	s	1	o	fsg	NA
Anthospermum_galioides	e	p	p	s	s	s	1	o	fsg	NA
Laurembergia_repens	h	p	u	s	s	s	1	o	fsg	NA
Centella_macrocarpa	h	p	m	b	s	s	2	o	fsg	NA
Lessertia_frutescens	h	p	w	b	s	s	2	o	fsg	NA
Aspalathus_hispida	e	p	p	s	s	s	2	o	fsg	NA
Carpacoce_vaginellata	h	p	p	s	s	s	2	o	fsg	NA
Thesidium_fragile	h	p	p	s	s	s	2	o	fsg	NA
Centella_spp	h	p	m	u	s	s	2	o	fsg	NA
Aspalathus_(grey-green)	e	p	p	u	u	s	2	o	fsg	NA
Aspalathus_(long_peduncle)	e	p	p	u	u	s	2	o	fsg	NA
Aspalathus_(silver)	e	p	p	u	u	s	2	o	fsg	NA
Elegia_asperiifolia	g	p	p	s	us	s	2	o	fsg	NA
Tephrosia_capensis	h	NA	p	b	NA	s	NA	o	fsg	NA
Lessertia_spp	h	p	NA	u	NA	s	NA	o	fsg	NA
Psoralea_asarina	h	NA	NA	NA	NA	s	NA	o	fsg	NA
Rhynchosia_capensis	h	NA	p	b	NA	NA	NA	o	fsg	NA
Centella_triloba	h	p	m	s	es	s	1	re	fsg	NA
Cleretum_herrei	h	a	p	s	s	s	1	re	fsg	NA
Cleretum_spp	h	a	p	s	s	s	1	re	fsg	NA
Indigofera_angustifolia	h	p	p	s	s	s	1	re	fsg	NA
Indigofera_filiformis	h	NA	p	s	s	s	1	re	fsg	NA
Indigofera_psoraloides	h	p	p	NA	s	s	1	re	fsg	NA
Lessertia_miniata	h	b	NA	NA	s	s	1	re	fsg	NA
Haplocarpha_lanata	h	p	w	b	us	s	1	re	fsg	NA
Indigofera_glomerata	h	NA	p	s	NA	s	1	re	fsg	NA
Diosma_hirsuta	e	p	m	b	es	s	2	re	fsg	NA
Diosma_oppositifolia	e	p	m	b	es	s	2	re	fsg	NA
Diosma_spp	e	p	m	b	es	s	2	re	fsg	NA
Macrostylis_villosa_ssp_villosa	e	p	m	b	es	s	2	re	fsg	NA
Cliffortia_graminea	o	p	m	b	es	s	2	re	fsg	NA
Indigofera_filifolia	t	p	p	b	es	s	2	re	fsg	NA
Agathosma_ciliaris	e	p	u	s	es	s	2	re	fsg	NA
Liparia_spp	h	p	NA	u	es	s	2	re	fsg	NA
Liparia_splendens	h	p	NA	NA	es	s	2	re	fsg	NA
Cliffortia_atrata	e	p	m	b	s	s	2	re	fsg	NA
Cliffortia_filifolia	e	p	m	b	s	s	2	re	fsg	NA
Cliffortia_spp	e	p	m	b	s	s	2	re	fsg	NA
Centella_affinis	h	p	m	b	s	s	2	re	fsg	NA
Centella_glabrata	h	p	m	b	s	s	2	re	fsg	NA
Thesium_capitatum	h	p	m	b	s	s	2	re	fsg	NA
Thesium_carinatum	h	p	m	b	s	s	2	re	fsg	NA
Thesium_pubescens	h	p	m	b	s	s	2	re	fsg	NA
Cullumia_setosa	o	p	m	b	s	s	2	re	fsg	NA
Cullumia_squarrosa	o	p	m	b	s	s	2	re	fsg	NA
Aspalathus_ciliaris	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_juniperina	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_laricifolia	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_linguilobia	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_retroflexa_ssp._retroflexa	e	p	p	b	s	s	2	re	fsg	NA
Adenandra_villosa	e	p	p	b	s	s	2	re	fsg	NA
Bolusafra_bituminosa	h	p	u	b	s	s	2	re	fsg	NA
Lebeckia_wrightii	h	b	NA	b	s	s	2	re	fsg	NA
Cliffortia_falcata	e	p	m	s	s	s	2	re	fsg	NA
Cliffortia_glauca	e	p	m	s	s	s	2	re	fsg	NA
Cliffortia_obcordata	e	p	m	s	s	s	2	re	fsg	NA
Diastella_divaricata	t	p	m	s	s	s	2	re	fsg	NA
Erepsia_anceps	h	b	p	s	s	s	2	re	fsg	NA
Erepsia_bracteata	h	b	p	s	s	s	2	re	fsg	NA
Erepsia_spp	h	b	p	s	s	s	2	re	fsg	NA
Aspalathus_ericifolia_ssp._ericifolia	e	p	p	s	s	s	2	re	fsg	NA
Aspalathus_microphylla	e	p	p	s	s	s	2	re	fsg	NA
Cliffortia_stricta	e	p	p	s	s	s	2	re	fsg	NA
Carpacoce_spermacocea	h	p	p	s	s	s	2	re	fsg	NA
Thesium_acuminatum	h	p	p	s	s	s	2	re	fsg	NA
Thesium_funale	h	p	p	s	s	s	2	re	fsg	NA
Anaxeton_laeve	h	p	w	s	s	s	2	re	fsg	NA
Lebeckia_meyeriana	h	p	NA	s	s	s	2	re	fsg	NA
Chironia_jasminoides	h	p	NA	s	s	s	2	re	fsg	NA
Aspalathus_cephalotes_ssp_violacea	e	p	p	u	s	s	2	re	fsg	NA
Aspalathus_forbesii	e	p	p	u	s	s	2	re	fsg	NA
Aspalathus_spp.	e	p	p	u	s	s	2	re	fsg	NA
Aspalathus_cordata_	h	p	p	u	s	s	2	re	fsg	NA
Thesium_spp	h	p	p	u	s	s	2	re	fsg	NA
Centella_fusca	h	p	m	NA	s	s	2	re	fsg	NA
Restionaceae	g	p	u	s	u	s	2	re	fsg	NA
Agathosma_spp	e	p	p	u	u	s	2	re	fsg	NA
Elegia_coleura	g	p	p	s	us	s	2	re	fsg	NA
Phyllobolus_canaliculatus	h	p	p	s	us	s	2	re	fsg	NA
Restio_perplexus	g	p	m	s	NA	s	2	re	fsg	NA
Berzelia_lanuginosa	e	p	w	s	es	b	2	re	fsg	NA
Coleonema_album	e	p	m	b	s	b	2	re	fsg	NA
Aspalathus_chenopoda	e	p	p	b	s	b	2	re	fsg	NA
Lebeckia_cystisoides	t	p	p	b	s	b	2	re	fsg	NA
Indigofera_cystisoides	t	p	p	s	s	b	2	re	fsg	NA
Cannamois_virgata	g	p	m	b	us	b	2	re	fsg	NA
Restio_quadratus	g	p	m	s	us	b	2	re	fsg	NA
Podalyria_biflora	h	p	m	b	es	s	NA	re	fsg	NA
Thesium_virgatum	h	p	m	b	s	s	NA	re	fsg	NA
Rafnia_triflora	h	NA	p	b	s	s	NA	re	fsg	NA
Psoralea_laxa	h	NA	NA	b	NA	s	NA	re	fsg	NA
Psoralea_aculeata	h	NA	NA	NA	NA	s	NA	re	fsg	NA
Psoralea_imbricata	h	NA	NA	NA	NA	s	NA	re	fsg	NA
Leucospermum_conocarpodendron	t	p	m	b	es	b	NA	re	fsg	NA
Leucospermum_spp	t	p	m	u	s	s	NA	u	fsg	NA
Indigofera_filicaulis	h	p	p	s	s	s	2	NA	fsg	NA
Hakea_drupacea	t	p	w	b	s	b	NA	e	fss	NA
Hakea_gibbosa	t	p	w	b	s	b	NA	e	fss	NA
Leucadendron_salignum	t	p	w	b	es	s	NA	o	fss	NA
Protea_repens	t	p	w	b	s	b	NA	o	fss	NA
Protea_acaulos	t	p	w	b	es	s	NA	re	fss	NA
Protea_cynaroides	t	p	w	b	es	s	NA	re	fss	NA
Leucadendron_xanthoconus	t	p	w	b	s	s	NA	re	fss	NA
Protea_nitida	t	p	w	b	es	b	NA	re	fss	NA
Leucadendron_coniferum	t	p	w	b	s	b	NA	re	fss	NA
Protea_lepidocarpodendron	t	p	w	b	s	b	NA	re	fss	NA
Protea_neriifolia	t	p	w	b	s	b	NA	re	fss	NA
Leucadendron_spp	t	p	w	u	u	s	NA	u	fss	NA
Protea_spp	t	p	w	u	s	b	NA	u	fss	NA
Catapodium_rigidum	g	a	p	s	s	s	1	e	n	NA
Polygonum_aviculare	h	a	p	s	s	s	1	e	n	NA
Datura_stramonium	h	a	p	s	s	s	1	e	n	NA
Polycarpon_tetraphyllum	h	b	p	s	s	s	1	e	n	NA
Rubus_spp	o	p	v	s	s	s	2	e	n	NA
Myoporum_serratum	t	p	v	b	es	b	2	e	n	NA
Populus_canescens	t	p	p	s	es	b	2	e	n	NA
Phytolacca_spp	t	p	v	b	s	b	2	e	n	NA
Pentaschistis_ampla	g	p	NA	s	es	s	1	o	n	NA
Pentaschistis_pallida	g	p	NA	NA	es	s	1	o	n	NA
Alectra_sessiliflora	h	p	p	s	s	s	1	o	n	NA
Pentaschistis_airoides	g	p	NA	NA	s	s	1	o	n	NA
Androcymbium_eucomoides	b	p	v	b	us	s	1	o	n	NA
Albuca_cooperi	b	p	w	s	us	s	1	o	n	NA
Albuca_flaccida	b	p	w	s	us	s	1	o	n	NA
Albuca_spp	b	p	w	s	us	s	1	o	n	NA
Pteridium_aquilinum_ssp._aquil	o	p	w	s	us	s	1	o	n	NA
Androcymbium_spp	b	p	v	u	us	s	1	o	n	NA
Androcymbium_capense	b	p	v	NA	us	s	1	o	n	NA
Cassytha_ciliolata	h	p	v	b	s	s	2	o	n	NA
Cussonia_thyrsiflora	t	p	v	b	es	b	2	o	n	NA
Cassine_peragua	t	p	v	b	es	b	2	o	n	NA
Chionanthus_foveolatus	t	p	v	b	es	b	2	o	n	NA
Osyris_compressa	t	p	v	b	es	b	2	o	n	NA
Chrysanthemoides_monolifera	o	p	v	b	s	b	2	o	n	NA
Anisodontea_scabrosa	h	p	p	s	s	b	2	o	n	NA
Metalasia_spp	e	p	w	s	s	b	2	o	n	NA
Sideroxylon_inerme	t	p	v	b	es	b	3	o	n	NA
Rhoicissus_spp	h	p	v	b	s	b	3	o	n	NA
Pentaschistis_pallescens	g	p	NA	s	es	s	1	re	n	NA
Pentaschistis_barbata	g	p	NA	NA	s	s	1	re	n	NA
Pentaschistis_papillosa	g	p	NA	NA	s	s	1	re	n	NA
Pentaschistis_pusilla	g	NA	NA	NA	s	s	1	re	n	NA
Agapanthus_africanus	b	p	u	b	us	s	1	re	n	NA
Cuscuta_nitida	h	p	NA	s	s	s	2	re	n	NA
Spergularia_media	b	a	w	s	es	s	1	e	u	NA
Raphanus_raphanistrum	h	b	p	b	s	s	1	e	u	NA
Briza_minor	g	a	p	s	s	s	1	e	u	NA
Brizia_maxima	g	a	p	s	s	s	1	e	u	NA
Cynosurus_echinatus	g	a	p	s	s	s	1	e	u	NA
Melilotus_indica	h	a	p	s	s	s	1	e	u	NA
Vicia_hirsuta	h	a	p	s	s	s	1	e	u	NA
Chenpodium_glaucum	h	b	p	s	s	s	1	e	u	NA
Chenpodium_mucronatum	h	b	p	s	s	s	1	e	u	NA
Carduus_tenuiflorus	h	u	w	s	s	s	1	e	u	NA
Lolium_perenne	g	a	NA	s	s	s	1	e	u	NA
Lolium_multiflorum	h	a	NA	s	s	s	1	e	u	NA
Lolium_spp	g	a	u	u	s	s	1	e	u	NA
Erodium_spp	h	a	w	u	s	s	1	e	u	NA
Avena_barbata	g	a	p	NA	s	s	1	e	u	NA
Avena_fatua	g	a	p	NA	s	s	1	e	u	NA
Brachypodium_distachyon	g	a	p	NA	s	s	1	e	u	NA
Bromus_diandrus	g	a	p	NA	s	s	1	e	u	NA
Lagurus_ovatus	g	p	NA	NA	s	s	1	e	u	NA
Pennisetum_clandestinum	g	p	NA	NA	us	s	1	e	u	NA
Polypogon_monspeliensis	g	a	NA	NA	NA	s	1	e	u	NA
Hypericum_spp	h	p	u	u	s	s	2	e	u	NA
Petrorhagia_prolifera	h	p	p	NA	s	s	NA	e	u	NA
Silene_cretica	h	a	NA	NA	s	s	NA	e	u	NA
Silene_bellidiodes	h	NA	NA	NA	s	s	NA	e	u	NA
Asparagus_capensis	e	p	v	b	es	s	1	o	u	NA
Crassula_nudicaulis_	h	p	p	s	es	s	1	o	u	NA
Asparagus_africanus	e	p	v	s	es	s	1	o	u	NA
Asparagus_compactus	e	p	v	s	es	s	1	o	u	NA
Asparagus_spp	e	p	v	u	es	s	1	o	u	NA
Asparagus_lignosus	e	p	v	NA	es	s	1	o	u	NA
Asparagus_rubicundus	e	p	v	NA	es	s	1	o	u	NA
Annual_spp	h	a	p	s	s	s	1	o	u	NA
Cerastium_capense	h	a	p	s	s	s	1	o	u	NA
Crassula_campestris	h	a	p	s	s	s	1	o	u	NA
Crassula_decumbens	h	a	p	s	s	s	1	o	u	NA
Sporobolus_africanus	g	p	p	s	s	s	1	o	u	NA
Aspidoglossum_heterophyllum	h	p	w	s	s	s	1	o	u	NA
Schizoglossum_aschersonianum	h	p	w	s	s	s	1	o	u	NA
Rumex_spp	h	p	w	s	s	s	1	o	u	NA
Apocanaceae	h	u	w	s	s	s	1	o	u	NA
Cotula_spp	h	u	w	s	s	s	1	o	u	NA
Monopsis_spp	h	p	p	u	s	s	1	o	u	NA
Phyllopodium_spp	h	a	u	u	s	s	1	o	u	NA
Silene_pilosellifolia	h	p	NA	NA	s	s	1	o	u	NA
Eragrostis_spp	g	p	u	u	u	s	1	o	u	NA
Chasmanthe_aethiopica	b	p	p	b	us	s	1	o	u	NA
Triglochin_bulbosa	b	p	p	b	us	s	1	o	u	NA
Cynanchum_obtusifolium	h	p	w	b	us	s	1	o	u	NA
Cymbopogon_marginatus	g	p	p	s	us	s	1	o	u	NA
Cynodon_dactylon_	g	p	p	s	us	s	1	o	u	NA
Tribolium_hispidum	g	p	p	s	us	s	1	o	u	NA
Blechnum_capense	o	p	p	s	us	s	1	o	u	NA
Bulbine_lagopus	b	p	w	s	us	s	1	o	u	NA
Cyperus_denudatus	g	p	p	u	us	s	1	o	u	NA
Bulbine_spp	b	p	w	u	us	s	1	o	u	NA
Disa_bracteata	b	p	NA	NA	us	s	1	o	u	NA
Ehrharta_erecta	g	p	p	s	NA	s	1	o	u	NA
Polypogon_strictus	g	NA	NA	NA	NA	s	1	o	u	NA
Clutia_ericoides	e	p	m	b	es	s	2	o	u	NA
Clutia_spp	o	p	u	u	es	s	2	o	u	NA
Dipogon_lignosus	h	p	p	b	s	s	2	o	u	NA
Carex_clavata	g	p	w	b	s	s	2	o	u	NA
Peucedanum_ferulaceum	h	p	w	b	s	s	2	o	u	NA
Cynanchum_africanum	h	p	w	b	s	s	2	o	u	NA
Chironia_linoides	h	p	NA	b	s	s	2	o	u	NA
Anthospermum_spp.	e	p	p	s	s	s	2	o	u	NA
Astephanus_triflorus	h	p	w	s	s	s	2	o	u	NA
Commelina_africana	h	p	NA	s	s	s	2	o	u	NA
Peucedanum_spp	h	p	u	u	s	s	2	o	u	NA
Cheilanthes_capensis	o	p	p	s	us	s	2	o	u	NA
Annesorhiza_macrocarpa	h	p	w	s	us	s	2	o	u	NA
Disa_spp	b	p	u	u	us	s	2	o	u	NA
Mariscus_thunbergii	g	p	u	u	us	s	2	o	u	NA
Cissampelos_capensis	h	p	p	b	NA	s	2	o	u	NA
Rhus_glauca	t	p	v	b	es	b	2	o	u	NA
Rhus_laevigata	t	p	v	b	es	b	2	o	u	NA
Gymnosporia_buxifolia	t	p	v	b	es	b	2	o	u	NA
Maytenus_oleoides	t	p	v	b	es	b	2	o	u	NA
Robsonodendron_maritimum	t	p	v	b	es	b	2	o	u	NA
Rhus_lucida	t	p	v	s	es	b	2	o	u	NA
Rhus_tomentosa	t	p	v	s	es	b	2	o	u	NA
Gomphocarpus_cancellatus	o	p	w	NA	es	NA	2	o	u	NA
Berkheya_barbata	o	p	w	s	es	s	1	re	u	NA
Berkheya_rigida	o	p	w	s	es	s	1	re	u	NA
Cyathocoma_hexandra	g	p	p	u	es	s	1	re	u	NA
Berkheya_armata	o	p	w	NA	es	s	1	re	u	NA
Dimorphotheca_nudicaulis	h	p	w	b	s	s	1	re	u	NA
Dischisma_arenarium	h	a	p	s	s	s	1	re	u	NA
Cotula_turbinata	h	a	w	s	s	s	1	re	u	NA
Diascia_elongata	h	a	w	s	s	s	1	re	u	NA
Diascia_spp	h	a	u	u	s	s	1	re	u	NA
Sonderina_hispida	h	a	p	s	u	s	1	re	u	NA
Aristea_major	b	p	p	b	us	s	1	re	u	NA
Aristea_spiralis	b	p	u	b	us	s	1	re	u	NA
Capnophyllum_africanum	h	a	w	b	us	s	1	re	u	NA
Brunsvigia_orientalis	b	p	w	b	us	s	1	re	u	NA
Dilatris_viscosa	b	p	w	b	us	s	1	re	u	NA
Lichtensteinia_lacera	h	p	w	b	us	s	1	re	u	NA
Lapeirousia_divaricata	b	p	p	s	us	s	1	re	u	NA
Apiaceae	h	p	p	s	us	s	1	re	u	NA
Aristea_spp	b	p	u	u	us	s	1	re	u	NA
Babiana_sp	b	p	u	u	us	s	1	re	u	NA
Ixia_spp	b	p	u	u	us	s	1	re	u	NA
Baeometra_uniflora	b	p	u	NA	us	s	1	re	u	NA
Dilatris_pilansii	b	p	w	NA	us	s	1	re	u	NA
Aristea_africana	b	p	w	NA	us	s	1	re	u	NA
Clutia_polygonoides	o	p	m	b	es	s	2	re	u	NA
Brunia_noduliflora	e	p	w	b	es	s	2	re	u	NA
Printzia_aromatica	h	p	w	s	es	s	2	re	u	NA
Chrysitrix_capensis_var._subteres	g	p	m	b	s	s	2	re	u	NA
Oftia_africana	h	p	v	b	s	s	2	re	u	NA
Peucedanum_galbanum	h	p	w	b	s	s	2	re	u	NA
Peucedanum_striatum	h	p	w	b	s	s	2	re	u	NA
Crassula_coccinea	h	p	p	s	s	s	2	re	u	NA
Crassula_fascicularis	h	p	p	s	s	s	2	re	u	NA
Dischisma_ciliatum	h	p	p	s	s	s	2	re	u	NA
Disparago_anomala	e	p	w	s	s	s	2	re	u	NA
Disparago_ericoides	e	p	w	s	s	s	2	re	u	NA
Chrysocoma_coma-aurea	h	p	w	s	s	s	2	re	u	NA
Capeobolus_brevicaulis	g	p	p	b	us	s	2	re	u	NA
Disa_densiflora	b	p	NA	NA	us	s	2	re	u	NA
Maurocenia_frangula	t	p	v	b	es	b	2	re	u	NA
