id	site	plot	species	value	old_name	habitat	veg	aliens	alititude	soil
45	1	1.2	Protea_lepidocarpodendron	1		tms/gravel	fynbos	no	med	tms
46	1	1.2	Psoralea_pinnata	1		tms/gravel	fynbos	no	med	tms
47	1	1.2	Ficinia_bulbosa	1		tms/gravel	fynbos	no	med	tms
48	1	1.2	Schizaea_pectinata	1		tms/gravel	fynbos	no	med	tms
49	1	1.3	Acacia_cyclops	1		tms/gravel	fynbos	no	med	tms
50	1	1.3	Clutia_polygonoides	1		tms/gravel	fynbos	no	med	tms
51	1	1.3	Erica_plukenetii	1		tms/gravel	fynbos	no	med	tms
52	1	1.3	Erica_spp_2007/13	1		tms/gravel	fynbos	no	med	tms
53	1	1.3	hypodiscus_albo-aristatus	1		tms/gravel	fynbos	no	med	tms
54	1	1.3	metalasia_muricata	1		tms/gravel	fynbos	no	med	tms
55	1	1.3	Pelargonium_cucullatum	1		tms/gravel	fynbos	no	med	tms
56	1	1.3	Peucadanum_ferulaceum	1		tms/gravel	fynbos	no	med	tms
57	1	1.3	Stoebe_cinerea	1		tms/gravel	fynbos	no	med	tms
58	1	1.3	Syncarpha_gnaphaloides	1		tms/gravel	fynbos	no	med	tms
59	1	1.3	Lobelia_coronopifolia	1		tms/gravel	fynbos	no	med	tms
60	1	1.3	Myrsine_africana	1		tms/gravel	fynbos	no	med	tms
61	1	1.3	Tetraria_compar	1		tms/gravel	fynbos	no	med	tms
62	1	1.3	Trachyandra_scabra	1		tms/gravel	fynbos	no	med	tms
63	1	1.3	Tritoniopsis_triticea	1		tms/gravel	fynbos	no	med	tms
64	1	1.4	Agathosma_imbricata	1		tms/gravel	fynbos	no	med	tms
65	1	1.4	Erica_spp_2007/14	1		tms/gravel	fynbos	no	med	tms
66	1	1.4	Erica_muscosa	1	Erica_spp_2007/15	tms/gravel	fynbos	no	med	tms
67	1	1.4	Leucadendron_salignum	1		tms/gravel	fynbos	no	med	tms
68	1	1.4	Lobelia_pinifolia	1		tms/gravel	fynbos	no	med	tms
69	1	1.5	Adenandra_villosa	1		tms/gravel	fynbos	no	med	tms
70	1	1.5	Corymbium_africanum	1		tms/gravel	fynbos	no	med	tms
71	1	1.5	Pseudopentameris_macrantha	1	Grass_sp_2007/5	tms/gravel	fynbos	no	med	tms
72	1	1.5	Muraltia_diabolica_	1	Muraltia_sp_2007/6	tms/gravel	fynbos	no	med	tms
73	1	1.5	Thamnochortus_gracilus	1	Thamnochortus_2007/4	tms/gravel	fynbos	no	med	tms
74	1	1.5	Pentashistis_curvifolia	1	pentashistis_sp._2007/12	tms/gravel	fynbos	no	med	tms
75	1	1.6	Olea_capensis	1		tms/gravel	fynbos	no	med	tms
76	1	1.6	Cyphia_bulbosa	1	lobelia_sp_2007/7	tms/gravel	fynbos	no	med	tms
77	1	1.6	Pelargonium_myrrhifolium	1		tms/gravel	fynbos	no	med	tms
78	1	1.6	pentashistis_sp_2007/9	1		tms/gravel	fynbos	no	med	tms
79	1	1.6	unknown_bulb__1	1		tms/gravel	fynbos	no	med	tms
80	2	2.1	Amphithalea_ericifolia	1		tms/gravel	fynbos	no	med	tms
81	2	2.1	Cannamois_virgata	1		tms/gravel	fynbos	no	med	tms
82	2	2.1	Cliffortia_atrata	1		tms/gravel	fynbos	no	med	tms
83	2	2.1	Ehrharta_grass_	1		tms/gravel	fynbos	no	med	tms
84	2	2.1	Elytropappus_scaber	1		tms/gravel	fynbos	no	med	tms
85	2	2.1	Erica_labialis	1	Erica_red_and_yellow_2007/33	tms/gravel	fynbos	no	med	tms
86	2	2.1	Erica_labialis	1	Erica_sp_2007/30	tms/gravel	fynbos	no	med	tms
87	2	2.1	Holothrix_villosa	1		tms/gravel	fynbos	no	med	tms
88	2	2.1	Ischyrolepis_capensis	1		tms/gravel	fynbos	no	med	tms
89	2	2.1	Ischyrolepis_cincinnata	1		tms/gravel	fynbos	no	med	tms
90	2	2.1	Lobelia_pinifolia	1		tms/gravel	fynbos	no	med	tms
91	2	2.1	Metalasia_cephalotes	1		tms/gravel	fynbos	no	med	tms
92	2	2.1	Metalasia_compacta	1		tms/gravel	fynbos	no	med	tms
93	2	2.1	metalasia_muricata	1		tms/gravel	fynbos	no	med	tms
94	2	2.1	Microdon_dubius_	1		tms/gravel	fynbos	no	med	tms
95	2	2.1	Mimetes_fimbrifolius	1		tms/gravel	fynbos	no	med	tms
96	2	2.1	Morea_tripatula	1		tms/gravel	fynbos	no	med	tms
97	2	2.1	Myrsine_africana	1		tms/gravel	fynbos	no	med	tms
98	2	2.1	Oftia_africana_	1		tms/gravel	fynbos	no	med	tms
99	2	2.1	Pelargonium_cucullatum	1		tms/gravel	fynbos	no	med	tms
100	2	2.1	Psoralea_pinnata	1		tms/gravel	fynbos	no	med	tms
101	2	2.1	Stoebe_cinerea	1		tms/gravel	fynbos	no	med	tms
102	2	2.1	Tetraria_eximia	1		tms/gravel	fynbos	no	med	tms
103	2	2.1	Thesium_strictum	1		tms/gravel	fynbos	no	med	tms
104	2	2.1	Tritoniopsis	1		tms/gravel	fynbos	no	med	tms
105	2	2.1	Ficinia_bulbosa	1		tms/gravel	fynbos	no	med	tms
106	2	2.2	Amphithalea_ericifolia	1		tms/gravel	fynbos	no	med	tms
107	2	2.2	Elegia_racemosa	1		tms/gravel	fynbos	no	med	tms
108	2	2.2	Psoralea_pinnata	1		tms/gravel	fynbos	no	med	tms
109	2	2.2	Pseudopentameris_macrantha	1		tms/gravel	fynbos	no	med	tms
110	2	2.2	Syncarpha_vestita	1		tms/gravel	fynbos	no	med	tms
111	2	2.2	Tetraria_cuspidata	1		tms/gravel	fynbos	no	med	tms
112	2	2.2	Thamnochortus_gracilus	1		tms/gravel	fynbos	no	med	tms
113	2	2.2	Merxmuellera_rufa	1		tms/gravel	fynbos	no	med	tms
114	2	2.2	Phylica_buxifolia	1		tms/gravel	fynbos	no	med	tms
115	2	2.2	unknown_bulb_2_	1		tms/gravel	fynbos	no	med	tms
116	2	2.3	Bolusafra_bituminosa	1		tms/gravel	fynbos	no	med	tms
117	2	2.3	Hypodiscus_aristatus	1		tms/gravel	fynbos	no	med	tms
118	2	2.3	Tetraria_compar	1		tms/gravel	fynbos	no	med	tms
119	2	2.3	Tetraria_thermalis	1		tms/gravel	fynbos	no	med	tms
120	2	2.3	Thesium_veridifolium	1		tms/gravel	fynbos	no	med	tms
121	2	2.3	Ursinia_sp	1		tms/gravel	fynbos	no	med	tms
122	2	2.4	Asparagus_rubicundus	1		tms/gravel	fynbos	no	med	tms
123	2	2.4	Diosma_oppisitifolia	1		tms/gravel	fynbos	no	med	tms
124	2	2.4	Hermus_villosa	1		tms/gravel	fynbos	no	med	tms
125	2	2.4	Morella_humilis	1		tms/gravel	fynbos	no	med	tms
126	2	2.4	Phylica_imberbis	1		tms/gravel	fynbos	no	med	tms
127	2	2.4	Lebeckia_wrightii_	1		tms/gravel	fynbos	no	med	tms
128	2	2.4	Oxalis_versicolor	1		tms/gravel	fynbos	no	med	tms
129	2	2.6	Chironia_baccifera	1		tms/gravel	fynbos	no	med	tms
130	3	3.1	Adenandra_villosa	1		tms/gravel	fynbos	no	med	tms
131	3	3.1	Agathosma_ciliaris	1		tms/gravel	fynbos	no	med	tms
132	3	3.1	Agathosma_imbricata	1		tms/gravel	fynbos	no	med	tms
133	3	3.1	Alciope_tabularis	1		tms/gravel	fynbos	no	med	tms
134	3	3.1	Anthospermum_aethiopicum	1		tms/gravel	fynbos	no	med	tms
135	3	3.1	Asparagus_lignosus	1		tms/gravel	fynbos	no	med	tms
136	3	3.1	Bobartia_indica	1		tms/gravel	fynbos	no	med	tms
137	3	3.1	Bobartia_latifolia	1		tms/gravel	fynbos	no	med	tms
138	3	3.1	Bolusafra_bituminosa	1		tms/gravel	fynbos	no	med	tms
139	3	3.1	Caesia_contorta	1		tms/gravel	fynbos	no	med	tms
140	3	3.1	Cliffortia_filifolia	1		tms/gravel	fynbos	no	med	tms
141	3	3.1	Cliffortia_sp	1		tms/gravel	fynbos	no	med	tms
142	3	3.1	Cliffortia_stricta	1		tms/gravel	fynbos	no	med	tms
143	3	3.1	Clutia_alaternoides	1		tms/gravel	fynbos	no	med	tms
144	3	3.1	Corymbium_africanum	1		tms/gravel	fynbos	no	med	tms
145	3	3.1	Cymbopogon_marginatus	1		tms/gravel	fynbos	no	med	tms
146	3	3.1	Diosma_oppisitifolia	1		tms/gravel	fynbos	no	med	tms
147	3	3.1	Elegia_racemosa	1		tms/gravel	fynbos	no	med	tms
148	3	3.1	Elytropappus_scaber	1		tms/gravel	fynbos	no	med	tms
149	3	3.1	Erepsia_bracteata	1		tms/gravel	fynbos	no	med	tms
150	3	3.1	Erica_similis	1	Erica_sp_2007/19	tms/gravel	fynbos	no	med	tms
151	3	3.1	Euphorbia_tuberosa	1		tms/gravel	fynbos	no	med	tms
152	3	3.1	Hermus_villosa	1		tms/gravel	fynbos	no	med	tms
153	3	3.1	Hypodiscus_aristatus	1		tms/gravel	fynbos	no	med	tms
154	3	3.1	Dilateris_pillansii	1	Iridaceae_sp_2007/22	tms/gravel	fynbos	no	med	tms
155	3	3.1	Ischyrolepis_capensis	1		tms/gravel	fynbos	no	med	tms
156	3	3.1	Ischyrolepis_cincinnata	1	Ischyrolepis_sp_2007/25	tms/gravel	fynbos	no	med	tms
157	3	3.1	Leucadendron_laureolum	1		tms/gravel	fynbos	no	med	tms
158	3	3.1	Leucospermum_conocarpodendron	1		tms/gravel	fynbos	no	med	tms
159	3	3.1	Liparia_splendens_	1		tms/gravel	fynbos	no	med	tms
160	3	3.1	Lobelia_pinifolia	1		tms/gravel	fynbos	no	med	tms
161	3	3.1	Mastersiella_digitata	1		tms/gravel	fynbos	no	med	tms
162	3	3.1	Merxmuellera_rufa	1		tms/gravel	fynbos	no	med	tms
163	3	3.1	Metalasia_divergens	1	Metalasia_sp_2007/16	tms/gravel	fynbos	no	med	tms
164	3	3.1	Oxalis_versicolor	1		tms/gravel	fynbos	no	med	tms
165	3	3.1	Pelargonium_pinatum	1		tms/gravel	fynbos	no	med	tms
166	3	3.1	Penea_cneorum	1		tms/gravel	fynbos	no	med	tms
167	3	3.1	Pentameris_macrocalycina	1		tms/gravel	fynbos	no	med	tms
168	3	3.1	Peucadanum_ferulaceum	1		tms/gravel	fynbos	no	med	tms
169	3	3.1	Phylica_imberbis	1		tms/gravel	fynbos	no	med	tms
170	3	3.1	Polygala_garcinii	1		tms/gravel	fynbos	no	med	tms
171	3	3.1	Psoralea_pinnata	1		tms/gravel	fynbos	no	med	tms
172	3	3.1	Pseudopentameris_macrantha	1		tms/gravel	fynbos	no	med	tms
173	3	3.1	Restio_sp	1		tms/gravel	fynbos	no	med	tms
174	3	3.1	Restio_sp	1		tms/gravel	fynbos	no	med	tms
175	3	3.1	Rhus_lucida	1		tms/gravel	fynbos	no	med	tms
176	3	3.1	Saltera_sarcocolla	1		tms/gravel	fynbos	no	med	tms
177	3	3.1	Syncarpha_vestita	1		tms/gravel	fynbos	no	med	tms
178	3	3.1	Tetraria_bramoides	1		tms/gravel	fynbos	no	med	tms
179	3	3.1	Tetraria_cuspidata	1		tms/gravel	fynbos	no	med	tms
180	3	3.1	Tetraria_fasciata	1	Tetraria_sp_2007/26	tms/gravel	fynbos	no	med	tms
181	3	3.1	Thamnochortus_sp	1		tms/gravel	fynbos	no	med	tms
182	3	3.1	Thesium_strictum	1		tms/gravel	fynbos	no	med	tms
183	3	3.1	Trachyandra_sp	1		tms/gravel	fynbos	no	med	tms
184	3	3.1	Trintoniopsis_tritisea	1		tms/gravel	fynbos	no	med	tms
185	3	3.1	Watsonia_borbonica	1		tms/gravel	fynbos	no	med	tms
186	3	3.1	Gladiolus_sp	1		tms/gravel	fynbos	no	med	tms
187	3	3.1	Metalasia_muricata	1		tms/gravel	fynbos	no	med	tms
188	3	3.1	Penea_mucronata	1		tms/gravel	fynbos	no	med	tms
189	3	3.1	Tetraria_compar	1		tms/gravel	fynbos	no	med	tms
190	3	3.1	Tetraria_cuspidata	1	Tetraria_cuspidata_2007/18	tms/gravel	fynbos	no	med	tms
191	3	3.1	Tetraria_eximia	1		tms/gravel	fynbos	no	med	tms
192	3	3.1	Tetraria_fasciata	1	Tetraria_fasciata_2007/17	tms/gravel	fynbos	no	med	tms
193	3	3.1	Tritoniopsis_triticea	1		tms/gravel	fynbos	no	med	tms
	3	3.1	Ficinia_sp1	1	Ficinia_sp_2007/17	tms/gravel	fynbos	no	med	tms
194	3	3.2	Agapanthus_africanus	1		tms/gravel	fynbos	no	med	tms
195	3	3.2	Aspalathus_ericifolia	1		tms/gravel	fynbos	no	med	tms
196	3	3.2	Cyphia_sp_2007/11	1		tms/gravel	fynbos	no	med	tms
197	3	3.2	Erica_plukenetii	1		tms/gravel	fynbos	no	med	tms
198	3	3.2	Heliophila_sp	1		tms/gravel	fynbos	no	med	tms
199	3	3.2	Microdon_dubius_	1		tms/gravel	fynbos	no	med	tms
200	3	3.2	Morea_tripatula	1		tms/gravel	fynbos	no	med	tms
201	3	3.2	Pseudoselago_serrata	1		tms/gravel	fynbos	no	med	tms
202	3	3.2	Staberoha_sp	1		tms/gravel	fynbos	no	med	tms
203	3	3.2	Syncarpha_gnaphaloides	1		tms/gravel	fynbos	no	med	tms
204	3	3.2	Erica_cerinthoides	1		tms/gravel	fynbos	no	med	tms
205	3	3.2	Euphorbia_genistoides	1		tms/gravel	fynbos	no	med	tms
206	3	3.2	thanmonchortus_sp_2007/4	1		tms/gravel	fynbos	no	med	tms
207	3	3.3	hypodiscus_albo-aristatus	1		tms/gravel	fynbos	no	med	tms
208	3	3.3	Leucadendron_xanthoconas	1		tms/gravel	fynbos	no	med	tms
209	3	3.3	Lichtensteinia_lacera	1		tms/gravel	fynbos	no	med	tms
210	3	3.3	Passerina_corymbosa	1		tms/gravel	fynbos	no	med	tms
211	3	3.3	Tetraria_thermalis	1		tms/gravel	fynbos	no	med	tms
212	3	3.3	Haplocarpha_lanata	1		tms/gravel	fynbos	no	med	tms
213	3	3.3	Restio_triticeus	1	Restio_sp_2007/24	tms/gravel	fynbos	no	med	tms
214	3	3.3	Tetraria_compar	1	tetraria_compar_2007/21	tms/gravel	fynbos	no	med	tms
215	3	3.3	Tritoniopsis	1		tms/gravel	fynbos	no	med	tms
	3	3.3	Agathosma_imbricata	1	Agathosma_ciliarus_2007/20	tms/gravel	fynbos	no	med	tms
216	3	3.4	Aristea_macrocarpa	1		tms/gravel	fynbos	no	med	tms
217	3	3.4	Protea_lepidocarpodendron	1		tms/gravel	fynbos	no	med	tms
218	3	3.4	Ficinia_bulbosa	1		tms/gravel	fynbos	no	med	tms
219	3	3.4	Ursinia_sp_2007/24	1	Ursinia_sp_2007/24	tms/gravel	fynbos	no	med	tms
220	3	3.5	Senecio_erosus_	1		tms/gravel	fynbos	no	med	tms
	3	3.5	Erica_ericoides	1	Erica_sp_2007/23	tms/gravel	fynbos	no	med	tms
221	3	3.6	Asparagus_rubicundus	1		tms/gravel	fynbos	no	med	tms
222	3	3.6	Pelargonium_cucullatum	1		tms/gravel	fynbos	no	med	tms
223	4	4.1	Agapanthus_africanus	1		tms/gravel	fynbos	yes	high	tms
224	4	4.1	Alciope_tabularis	1		tms/gravel	fynbos	yes	high	tms
225	4	4.1	Anthospermum_aethiopicum	1		tms/gravel	fynbos	yes	high	tms
226	4	4.1	Chironia_baccifera	1		tms/gravel	fynbos	yes	high	tms
227	4	4.1	Cliffortia_atrata	1		tms/gravel	fynbos	yes	high	tms
228	4	4.1	Erica_abietina	1		tms/gravel	fynbos	yes	high	tms
229	4	4.1	Erica_hirtiflora	1		tms/gravel	fynbos	yes	high	tms
230	4	4.1	Erica_muscosa	1		tms/gravel	fynbos	yes	high	tms
231	4	4.1	Erica_plukenetii	1		tms/gravel	fynbos	yes	high	tms
232	4	4.1	Erica_similis	1		tms/gravel	fynbos	yes	high	tms
233	4	4.1	Hakea_drupacea	1		tms/gravel	fynbos	yes	high	tms
234	4	4.1	Leucospermum_conocarpodendron	1		tms/gravel	fynbos	yes	high	tms
235	4	4.1	Oftia_africana_	1		tms/gravel	fynbos	yes	high	tms
236	4	4.1	Pelargonium_cucullatum	1		tms/gravel	fynbos	yes	high	tms
237	4	4.1	Pinus_pinaster	1		tms/gravel	fynbos	yes	high	tms
238	4	4.1	Pseudopentameris_macrantha	1		tms/gravel	fynbos	yes	high	tms
239	4	4.1	Psoralea_pinnata	1		tms/gravel	fynbos	yes	high	tms
240	4	4.1	Rhus_lucida	1		tms/gravel	fynbos	yes	high	tms
241	4	4.1	Stoebe_cinerea	1		tms/gravel	fynbos	yes	high	tms
242	5	5.1	Anthochortus_capensis	1	Anthchortus_crinalis_2007/359,_364,_365	wetland	Wetland	no	med	tms
243	5	5.1	Berzelia_abrontanoides_	1		wetland	Wetland	no	med	tms
244	5	5.1	Berzelia_lanuginosa	1		wetland	Wetland	no	med	tms
245	5	5.1	Carpacoce_spermacocea	1		wetland	Wetland	no	med	tms
246	5	5.1	Cliffortia_graminea_	1		wetland	Wetland	no	med	tms
247	5	5.1	Clutia_alaternoides	1		wetland	Wetland	no	med	tms
248	5	5.1	Ficinia_capillifolia	1	Cyp_sp_2007/356	wetland	Wetland	no	med	tms
249	5	5.1	Elegia_filacea	1	Elegia_sp_2007/357	wetland	Wetland	no	med	tms
250	5	5.1	Erica_hirtiflora	1		wetland	Wetland	no	med	tms
251	5	5.1	Erica_hispidula	1		wetland	Wetland	no	med	tms
252	5	5.1	Erica_laeta	1	Erica_laeta_2007/358	wetland	Wetland	no	med	tms
253	5	5.1	Erica_sp_2007/355	1		wetland	Wetland	no	med	tms
254	5	5.1	Fincinia_angustifolia	1		wetland	Wetland	no	med	tms
255	5	5.1	Helichrysum_cymosum	1		wetland	Wetland	no	med	tms
256	5	5.1	Osmitopsis_asteriscoides	1		wetland	Wetland	no	med	tms
257	5	5.1	Pelargonium_sp	1		wetland	Wetland	no	med	tms
258	5	5.1	Penea_mucronata	1		wetland	Wetland	no	med	tms
259	5	5.1	Platycaulos_major	1		wetland	Wetland	no	med	tms
260	5	5.1	Psoralea_laxa	1	Psoralea_sp_2007/354	wetland	Wetland	no	med	tms
261	5	5.1	Scirpoides_thunbergii	1		wetland	Wetland	no	med	tms
262	5	5.1	Stoebe_cinerea	1		wetland	Wetland	no	med	tms
263	5	5.1	Watsonia_tabularis	1		wetland	Wetland	no	med	tms
264	5	5.1	Ficinia_angustifolia	1		wetland	Wetland	no	med	tms
265	5	5.2	Berzelia_abrontanoides_	1		wetland	Wetland	no	med	tms
266	5	5.2	Gladiolus_undulatus	1		wetland	Wetland	no	med	tms
267	5	5.2	Indigofera_filiformis	1	Indigofera_sp_2007/360	wetland	Wetland	no	med	tms
268	5	5.2	Morella_serrata	1		wetland	Wetland	no	med	tms
269	5	5.2	Restio_quadratus	1		wetland	Wetland	no	med	tms
270	5	5.3	Cassytha_ciliolata	1		wetland	Wetland	no	med	tms
271	5	5.3	Gnidia_oppisitifolia	1	Gnidia_sp_2007/361	wetland	Wetland	no	med	tms
272	5	5.3	Leucadendron_laureolum	1		wetland	Wetland	no	med	tms
273	5	5.3	Leucospermum_conocarpodendron	1		wetland	Wetland	no	med	tms
276	5	5.4	Cyathocoma_hexandra	1		wetland	Wetland	no	med	tms
277	5	5.4	Ficinia_capillifolia	1	cyp_sp2_2007/363	wetland	Wetland	no	med	tms
278	5	5.4	Drosera_capensis	1		wetland	Wetland	no	med	tms
279	5	5.4	Drosera_trinervia	1		wetland	Wetland	no	med	tms
280	5	5.4	Erica_limosa	1		wetland	Wetland	no	med	tms
281	5	5.4	Pinus_pinaster	1		wetland	Wetland	no	med	tms
282	5	5.4	Polygala_lehmanniana	1		wetland	Wetland	no	med	tms
283	5	5.4	Restio_ambigus	1		wetland	Wetland	no	med	tms
284	5	5.4	Disa_racemosa	1		wetland	Wetland	no	med	tms
	5	5.6	Fern_sp1	1	fern_1_2007/366	wetland	Wetland	no	med	tms
	5	5.6	fern_2_2007/367	1		wetland	Wetland	no	med	tms
285	6	6.1	Alciope_tabularis	1		tms/gravel	fynbos	cleared	high	tms
286	6	6.1	Anthospermum_aethiopicum	1		tms/gravel	fynbos	cleared	high	tms
287	6	6.1	Bobartia_indica	1		tms/gravel	fynbos	cleared	high	tms
288	6	6.1	Cliffortia_atrata	1		tms/gravel	fynbos	cleared	high	tms
289	6	6.1	Cliffortia_polygonifolia	1	Cliffortia_sp_2007/78	tms/gravel	fynbos	cleared	high	tms
290	6	6.1	Elegia_racemosa	1		tms/gravel	fynbos	cleared	high	tms
291	6	6.1	Erica_plukenetii	1		tms/gravel	fynbos	cleared	high	tms
292	6	6.1	Erica_hirtiflora	1	Erica_sp_2007/72	tms/gravel	fynbos	cleared	high	tms
293	6	6.1	Erica_hirtiflora	1	Erica_sp_2007/73	tms/gravel	fynbos	cleared	high	tms
294	6	6.1	Erica_laeta	1	Erica_sp_2007/74	tms/gravel	fynbos	cleared	high	tms
295	6	6.1	Erica_similis	1	Erica_sp_2007/75	tms/gravel	fynbos	cleared	high	tms
296	6	6.1	Erica_hispidula	1	Erica_sp_2007/76	tms/gravel	fynbos	cleared	high	tms
297	6	6.1	Ficinia_brevifolia_	1		tms/gravel	fynbos	cleared	high	tms
298	6	6.1	Ficinia_deusta	1		tms/gravel	fynbos	cleared	high	tms
299	6	6.1	Hermus_villosa	1		tms/gravel	fynbos	cleared	high	tms
300	6	6.1	Hypodiscus_aristatus	1		tms/gravel	fynbos	cleared	high	tms
301	6	6.1	Indigofera_mauritanica	1		tms/gravel	fynbos	cleared	high	tms
302	6	6.1	Ischyrolepis_capensis	1		tms/gravel	fynbos	cleared	high	tms
303	6	6.1	Ischyrolepis_cincinnata	1		tms/gravel	fynbos	cleared	high	tms
304	6	6.1	Leucadendron_xanthoconas	1		tms/gravel	fynbos	cleared	high	tms
305	6	6.1	Morella_humilis	1		tms/gravel	fynbos	cleared	high	tms
306	6	6.1	Myrsine_africana	1		tms/gravel	fynbos	cleared	high	tms
307	6	6.1	Passerina_corymbosa	1		tms/gravel	fynbos	cleared	high	tms
308	6	6.1	Penea_cneorum	1		tms/gravel	fynbos	cleared	high	tms
309	6	6.1	Pentameris_macrocalycina	1		tms/gravel	fynbos	cleared	high	tms
310	6	6.1	Pentaschistis_pallescens	1	Pentaschistis_pallescens_2007/79	tms/gravel	fynbos	cleared	high	tms
311	6	6.1	Phylica_imberbis	1		tms/gravel	fynbos	cleared	high	tms
312	6	6.1	Phylica_dioica	1	Phylica_sp_2007/77	tms/gravel	fynbos	cleared	high	tms
313	6	6.1	Pseudopentameris_macrantha	1		tms/gravel	fynbos	cleared	high	tms
314	6	6.1	Psoralea_pinnata	1		tms/gravel	fynbos	cleared	high	tms
315	6	6.1	Rhus_tomentosa	1		tms/gravel	fynbos	cleared	high	tms
316	6	6.1	Stoebe_cinerea	1		tms/gravel	fynbos	cleared	high	tms
317	6	6.1	Stoebe_grey	1	Stoebe_grey_2007/80	tms/gravel	fynbos	cleared	high	tms
318	6	6.1	Struthiola_striata	1		tms/gravel	fynbos	cleared	high	tms
319	6	6.1	Tetraria_ustulata	1		tms/gravel	fynbos	cleared	high	tms
320	6	6.1	Thamnochortus_gracilus	1		tms/gravel	fynbos	cleared	high	tms
321	6	6.1	Watsonia_tabularis	1		tms/gravel	fynbos	cleared	high	tms
322	6	6.1	Ficinia_bulbosa	1		tms/gravel	fynbos	cleared	high	tms
323	6	6.1	Gnidia_tomentosa	1		tms/gravel	fynbos	cleared	high	tms
324	6	6.1	Pinus_pinaster	1		tms/gravel	fynbos	cleared	high	tms
325	6	6.2	Cannamois_virgata	1		tms/gravel	fynbos	cleared	high	tms
326	6	6.2	Cliffortia_stricta	1		tms/gravel	fynbos	cleared	high	tms
327	6	6.2	Erica_muscosa	1	Erica_muscosa_2007/82	tms/gravel	fynbos	cleared	high	tms
328	6	6.2	Helichrysum_pandurifolium	1	Helichrysum_pandurifolium_2007/81	tms/gravel	fynbos	cleared	high	tms
329	6	6.2	Oftia_africana_	1		tms/gravel	fynbos	cleared	high	tms
